dir	vel
235.9	11.27
261.1	11.27
255.5	13.51
263.9	14.65
262.5	14.09
263.9	15.21
271	12.39
265.3	14.09
263.9	14.09
271	9.01
275.2	14.65
273.8	14.09
273.8	12.95
273.8	13.51
273.8	13.51
265.3	14.09
262.5	13.51
272.4	15.21
258.3	11.83
261.1	10.69
263.9	9.57
252.7	7.31
258.3	7.31
256.9	7.31
248.5	7.9
265.3	10.13
268.1	7.9
256.9	10.13
251.3	9.57
249.9	9.57
258.3	9.57
263.9	10.69
258.3	11.27
261.1	9.57
255.5	8.46
252.7	8.46
263.9	11.27
259.7	9.57
256.9	13.51
254.1	7.9
256.9	8.46
259.7	11.27
252.7	9.01
261.1	9.57
261.1	6.76
266.7	7.31
259.7	7.31
263.9	10.13
261.1	10.69
259.7	7.31
263.9	8.46
258.3	4.5
262.5	10.69
263.9	11.27
261.1	8.46
269.6	9.01
268.1	7.9
266.7	7.31
271	7.31
266.7	9.01
266.7	9.01
271	7.31
272.4	7.9
266.7	6.76
266.7	6.2
269.6	9.01
261.1	9.01
262.5	5.64
258.3	6.2
261.1	5.64
258.3	6.76
259.7	5.08
262.5	5.08
262.5	6.76
262.5	4.5
265.3	5.08
272.4	5.08
271	4.5
282.2	4.5
271	5.64
278	5.64
265.3	4.5
271	3.38
263.9	3.38
271	3.94
265.3	3.94
263.9	4.5
268.1	5.08
276.6	3.94
275.2	2.82
268.1	3.94
269.6	5.08
258.3	5.08
261.1	5.64
258.3	3.38
231.6	3.38
265.3	4.5
256.9	4.5
276.6	3.94
282.2	3.94
269.6	2.82
272.4	4.5
272.4	2.82
258.3	5.64
266.7	4.5
265.3	6.2
263.9	5.08
262.5	5.08
268.1	3.94
263.9	3.38
251.3	3.38
245.7	3.38
266.7	5.64
259.7	5.08
262.5	3.94
262.5	4.5
261.1	5.64
249.9	2.26
213.4	1.12
235.9	1.7
249.9	2.26
258.3	3.94
245.7	4.5
254.1	2.82
262.5	5.08
249.9	3.38
258.3	4.5
244.3	5.08
244.3	5.08
254.1	5.08
259.7	4.5
244.3	4.5
259.7	6.76
244.3	6.2
251.3	3.94
251.3	5.08
221.8	3.38
242.9	3.38
247.1	4.5
233.1	3.94
228.8	5.08
219	5.64
223.2	3.38
238.7	3.94
255.5	4.5
252.7	5.64
249.9	3.94
241.5	5.08
245.7	6.76
248.5	6.2
227.4	5.08
245.7	5.08
256.9	6.2
255.5	5.08
